"wl","gv_q_Reflection_00002"
300,4.80306901730996
301,4.83462126601653
302,4.86595776785388
303,4.89707421688434
304,4.9279663071702
305,4.95862973277378
306,4.9890601877574
307,5.01925336618337
308,5.049204962114
309,5.07891066961162
310,5.10836618273852
311,5.13756719555702
312,5.16650940212944
313,5.19519719194973
314,5.22364014393076
315,5.25184173626324
316,5.27980544713785
317,5.3075347547453
318,5.33503313727627
319,5.36230407292148
320,5.3893510398716
321,5.41617751631734
322,5.44278698044939
323,5.46918291045845
324,5.49536878453522
325,5.52134808087039
326,5.54707706543381
327,5.57251835247444
328,5.59768494260157
329,5.62258983642453
330,5.64724603455264
331,5.67166653759522
332,5.69586434616158
333,5.71985246086105
334,5.74364388230293
335,5.76725161109656
336,5.79068864785124
337,5.81396799317629
338,5.83710264768103
339,5.8599013111714
340,5.88220367957353
341,5.904069247677
342,5.92555751027145
343,5.94672796214646
344,5.96764009809165
345,5.98835341289662
346,6.00892740135099
347,6.02942155824435
348,6.04989537836632
349,6.0704083565065
350,6.09101998745449
351,6.11126956732391
352,6.13074420325958
353,6.14957510659793
354,6.1678934886754
355,6.18583056082843
356,6.20351753439346
357,6.22108562070693
358,6.23866603110527
359,6.25638997692491
360,6.2743886695023
361,6.29279332017388
362,6.31173514027607
363,6.33134534114532
364,6.35104928865476
365,6.37026032024579
366,6.38909160460728
367,6.40765631042808
368,6.42606760639707
369,6.4444386612031
370,6.46288264353503
371,6.48151272208173
372,6.50044206553206
373,6.51978384257489
374,6.53965122189907
375,6.56015737219346
376,6.5810492167233
377,6.60200704259177
378,6.62304406424465
379,6.64417349612773
380,6.66540855268679
381,6.68676244836761
382,6.70824839761599
383,6.72987961487771
384,6.75166931459854
385,6.77363071122429
386,6.79577701920073
387,6.81812145297364
388,6.84067722698882
389,6.86354052769502
390,6.8867681070178
391,6.91031402761814
392,6.93413235215704
393,6.95817714329546
394,6.9824024636944
395,7.00676237601483
396,7.03121094291774
397,7.05570222706412
398,7.08019029111494
399,7.10462919773119
400,7.12897300957384
401,7.15336212385542
402,7.1779551978905
403,7.20273368449318
404,7.22767903647757
405,7.25277270665776
406,7.27799614784785
407,7.30333081286195
408,7.32875815451416
409,7.35425962561858
410,7.3798166789893
411,7.40541076744043
412,7.43102334378607
413,7.45663586084032
414,7.4822437511773
415,7.50786545404382
416,7.53351693226297
417,7.55921414865788
418,7.58497306605166
419,7.61080964726742
420,7.63673985512828
421,7.66277965245734
422,7.68894500207772
423,7.71525186681254
424,7.7417162094849
425,7.76835399291792
426,7.7951417704496
427,7.82204335143322
428,7.84905558271479
429,7.87617531114033
430,7.90339938355586
431,7.9307246468074
432,7.95814794774096
433,7.98566613320256
434,8.01327605003821
435,8.04097454509395
436,8.06875846521578
437,8.09662465724972
438,8.1245699680418
439,8.15261634816595
440,8.18078420008461
441,8.20906804847649
442,8.23746241802029
443,8.26596183339474
444,8.29456081927855
445,8.32325390035042
